API WELL NUMBER,Nearest_SWIW_km
34073222650000,"85    225.842602
Name: geometry, dtype: float64"
34073222660000,"85    223.207669
Name: geometry, dtype: float64"
34073222720000,"85    233.888181
Name: geometry, dtype: float64"
34073222740000,"85    258.761587
Name: geometry, dtype: float64"
34073222770000,"85    231.54462
Name: geometry, dtype: float64"
34073222810000,"85    227.609486
Name: geometry, dtype: float64"
34073222820000,"85    232.436103
Name: geometry, dtype: float64"
34073223110000,"85    258.43718
Name: geometry, dtype: float64"
34073223170000,"85    227.799515
Name: geometry, dtype: float64"
34073223180000,"85    226.570328
Name: geometry, dtype: float64"
34073223310000,"85    240.656045
Name: geometry, dtype: float64"
34073223320000,"85    258.845845
Name: geometry, dtype: float64"
34073223390000,"85    241.449689
Name: geometry, dtype: float64"
34073223400000,"85    225.552968
Name: geometry, dtype: float64"
34073223450000,"85    225.163696
Name: geometry, dtype: float64"
34073223460000,"85    224.756247
Name: geometry, dtype: float64"
34073223470000,"85    242.474429
Name: geometry, dtype: float64"
34073223480000,"85    224.362378
Name: geometry, dtype: float64"
34073223530000,"85    226.039281
Name: geometry, dtype: float64"
34073223600000,"85    226.098383
Name: geometry, dtype: float64"
34073223670000,"85    224.303518
Name: geometry, dtype: float64"
34073223680000,"85    225.085872
Name: geometry, dtype: float64"
34073223710000,"85    226.708717
Name: geometry, dtype: float64"
34073223820000,"85    259.703612
Name: geometry, dtype: float64"
34073224090000,"85    242.782961
Name: geometry, dtype: float64"
34073224220000,"85    258.221136
Name: geometry, dtype: float64"
34073224230000,"85    242.382073
Name: geometry, dtype: float64"
34073224240000,"85    224.886606
Name: geometry, dtype: float64"
34073224250000,"85    224.40265
Name: geometry, dtype: float64"
34073224670000,"85    268.15195
Name: geometry, dtype: float64"
34073224820000,"85    265.214523
Name: geometry, dtype: float64"
34073224830000,"85    266.085982
Name: geometry, dtype: float64"
34073224840000,"85    265.214365
Name: geometry, dtype: float64"
34073224850000,"85    241.251114
Name: geometry, dtype: float64"
34073225210000,"85    266.339482
Name: geometry, dtype: float64"
34073225240000,"85    228.507349
Name: geometry, dtype: float64"
34073225300000,"85    242.090978
Name: geometry, dtype: float64"
34073225310000,"85    242.673231
Name: geometry, dtype: float64"
34073225340000,"85    231.341521
Name: geometry, dtype: float64"
34073225470000,"85    230.491916
Name: geometry, dtype: float64"
34073225500000,"85    232.241922
Name: geometry, dtype: float64"
34073226230000,"85    268.09661
Name: geometry, dtype: float64"
34073226250000,"85    266.626155
Name: geometry, dtype: float64"
34073226260000,"85    267.148462
Name: geometry, dtype: float64"
34073226360000,"85    261.326075
Name: geometry, dtype: float64"
34073226380000,"85    267.767481
Name: geometry, dtype: float64"
34073226490000,"85    269.097859
Name: geometry, dtype: float64"
34073226670000,"85    263.917074
Name: geometry, dtype: float64"
34073226700000,"85    264.792513
Name: geometry, dtype: float64"
34073226750000,"85    260.366128
Name: geometry, dtype: float64"
34073227030000,"85    226.578054
Name: geometry, dtype: float64"
34073227130000,"85    242.674843
Name: geometry, dtype: float64"
34073227170000,"85    242.639621
Name: geometry, dtype: float64"
34073227220000,"85    242.065917
Name: geometry, dtype: float64"
34073227270000,"85    230.4668
Name: geometry, dtype: float64"
34073227480000,"85    260.501914
Name: geometry, dtype: float64"
34073227500000,"85    267.490157
Name: geometry, dtype: float64"
34073227550000,"85    238.426411
Name: geometry, dtype: float64"
34073228090000,"85    266.225034
Name: geometry, dtype: float64"
34073228100000,"85    266.826849
Name: geometry, dtype: float64"
34073228110000,"85    267.424281
Name: geometry, dtype: float64"
34073228210000,"85    267.963479
Name: geometry, dtype: float64"
34073228230000,"85    262.510241
Name: geometry, dtype: float64"
34073228250000,"85    264.731902
Name: geometry, dtype: float64"
34073228290000,"85    268.767473
Name: geometry, dtype: float64"
34073228360000,"85    269.420012
Name: geometry, dtype: float64"
34073228370000,"85    268.468066
Name: geometry, dtype: float64"
34073228520000,"85    259.122828
Name: geometry, dtype: float64"
34073228770000,"85    269.975994
Name: geometry, dtype: float64"
34073610870000,"85    225.970263
Name: geometry, dtype: float64"
34073610880000,"85    226.512101
Name: geometry, dtype: float64"
34073610910000,"85    224.568373
Name: geometry, dtype: float64"
34073610920000,"85    225.206232
Name: geometry, dtype: float64"
34073610930000,"85    224.298933
Name: geometry, dtype: float64"
34073610940000,"85    224.831334
Name: geometry, dtype: float64"
34073610950000,"85    225.83623
Name: geometry, dtype: float64"
34073610960000,"85    225.089317
Name: geometry, dtype: float64"
34073610970000,"85    225.370148
Name: geometry, dtype: float64"
34073611020000,"85    226.78865
Name: geometry, dtype: float64"
34073611030000,"85    227.662437
Name: geometry, dtype: float64"
34073611040000,"85    227.038242
Name: geometry, dtype: float64"
34073611110000,"85    225.155239
Name: geometry, dtype: float64"
34073611120000,"85    225.347954
Name: geometry, dtype: float64"
34073611140000,"85    226.333546
Name: geometry, dtype: float64"
34073611150000,"85    225.853894
Name: geometry, dtype: float64"
34073611200000,"85    226.737364
Name: geometry, dtype: float64"
34073611220000,"85    228.259511
Name: geometry, dtype: float64"
34073611230000,"85    227.772815
Name: geometry, dtype: float64"
34073611270000,"85    228.743533
Name: geometry, dtype: float64"
34073611280000,"85    227.72006
Name: geometry, dtype: float64"
34073611290000,"85    228.046356
Name: geometry, dtype: float64"
34073611310000,"85    228.802461
Name: geometry, dtype: float64"
34073611320000,"85    228.857585
Name: geometry, dtype: float64"
34073611330000,"85    225.458582
Name: geometry, dtype: float64"
34073611340000,"85    227.185652
Name: geometry, dtype: float64"
34073611370000,"85    230.156048
Name: geometry, dtype: float64"
34073611380000,"85    226.656174
Name: geometry, dtype: float64"
34073611390000,"85    226.939269
Name: geometry, dtype: float64"
34073611400000,"85    227.121707
Name: geometry, dtype: float64"
34073611450000,"85    229.046084
Name: geometry, dtype: float64"
34073611460000,"85    230.007142
Name: geometry, dtype: float64"
34073611490000,"85    229.623534
Name: geometry, dtype: float64"
34073611540000,"85    228.136728
Name: geometry, dtype: float64"
34073611550000,"85    230.695791
Name: geometry, dtype: float64"
34073611690000,"85    229.914556
Name: geometry, dtype: float64"
34073611700000,"85    230.939143
Name: geometry, dtype: float64"
34073611750000,"85    230.161885
Name: geometry, dtype: float64"
34073611920000,"85    231.423155
Name: geometry, dtype: float64"
34073611930000,"85    231.337676
Name: geometry, dtype: float64"
34073611980000,"85    234.002816
Name: geometry, dtype: float64"
34073612000000,"85    231.940821
Name: geometry, dtype: float64"
34073612280000,"85    231.088882
Name: geometry, dtype: float64"
34073612360000,"85    225.83495
Name: geometry, dtype: float64"
34073612370000,"85    229.472773
Name: geometry, dtype: float64"
34073612390000,"85    232.578479
Name: geometry, dtype: float64"
34073612410000,"85    231.774932
Name: geometry, dtype: float64"
34073612530000,"85    232.266237
Name: geometry, dtype: float64"
34073612540000,"85    232.781857
Name: geometry, dtype: float64"
34073612610000,"85    231.959305
Name: geometry, dtype: float64"
34073618720000,"85    266.79156
Name: geometry, dtype: float64"
34073618830000,"85    265.695185
Name: geometry, dtype: float64"
34073618910000,"85    262.32901
Name: geometry, dtype: float64"
34073618930000,"85    262.355979
Name: geometry, dtype: float64"
34073619030000,"85    260.671269
Name: geometry, dtype: float64"
34073619160000,"85    260.411506
Name: geometry, dtype: float64"
34073619650000,"85    256.672644
Name: geometry, dtype: float64"
34073619670000,"85    256.452464
Name: geometry, dtype: float64"
34073619830000,"85    256.663314
Name: geometry, dtype: float64"
34073620030000,"85    264.400618
Name: geometry, dtype: float64"
34073620090000,"85    260.866686
Name: geometry, dtype: float64"
34073620120000,"85    260.473927
Name: geometry, dtype: float64"
34073620130000,"85    259.981132
Name: geometry, dtype: float64"
34073620190000,"85    259.98394
Name: geometry, dtype: float64"
34073620220000,"85    259.532812
Name: geometry, dtype: float64"
34073620230000,"85    258.918888
Name: geometry, dtype: float64"
34073620240000,"85    259.736226
Name: geometry, dtype: float64"
34073620290000,"85    260.152915
Name: geometry, dtype: float64"
34073620380000,"85    259.252012
Name: geometry, dtype: float64"
34073620480000,"85    258.829815
Name: geometry, dtype: float64"
34073620540000,"85    258.529457
Name: geometry, dtype: float64"
34073620670000,"85    268.732564
Name: geometry, dtype: float64"
34073620850000,"85    261.61859
Name: geometry, dtype: float64"
34073621000000,"85    259.676416
Name: geometry, dtype: float64"
34073621030000,"85    261.002684
Name: geometry, dtype: float64"
34073621080000,"85    260.218323
Name: geometry, dtype: float64"
34073621110000,"85    261.432776
Name: geometry, dtype: float64"
34073621120000,"85    261.4889
Name: geometry, dtype: float64"
34073621130000,"85    261.26432
Name: geometry, dtype: float64"
34073621240000,"85    259.436534
Name: geometry, dtype: float64"
34073621260000,"85    258.934584
Name: geometry, dtype: float64"
34073621330000,"85    258.721094
Name: geometry, dtype: float64"
34073621890000,"85    262.837788
Name: geometry, dtype: float64"
34073622130000,"85    267.642926
Name: geometry, dtype: float64"
34073622220000,"85    263.267931
Name: geometry, dtype: float64"
34073622250000,"85    267.17763
Name: geometry, dtype: float64"
34073622260000,"85    267.5155
Name: geometry, dtype: float64"
34073622280000,"85    267.666969
Name: geometry, dtype: float64"
34073622320000,"85    265.778107
Name: geometry, dtype: float64"
34073622340000,"85    265.905482
Name: geometry, dtype: float64"
34073622350000,"85    265.651032
Name: geometry, dtype: float64"
34073622360000,"85    265.281836
Name: geometry, dtype: float64"
34073622370000,"85    265.055413
Name: geometry, dtype: float64"
34073622400000,"85    263.081512
Name: geometry, dtype: float64"
34073622490000,"85    257.159523
Name: geometry, dtype: float64"
34073622540000,"85    257.623656
Name: geometry, dtype: float64"
34073622610000,"85    265.437245
Name: geometry, dtype: float64"
34073622640000,"85    265.755681
Name: geometry, dtype: float64"
34073622650000,"85    266.037125
Name: geometry, dtype: float64"
34073622710000,"85    259.978245
Name: geometry, dtype: float64"
34073622740000,"85    265.433796
Name: geometry, dtype: float64"
34073622760000,"85    259.675958
Name: geometry, dtype: float64"
34073226720000,"85    250.170239
Name: geometry, dtype: float64"
34073226780000,"85    254.104348
Name: geometry, dtype: float64"
34073226810000,"85    251.545515
Name: geometry, dtype: float64"
34073226850000,"85    254.760814
Name: geometry, dtype: float64"
34073226860000,"85    254.847427
Name: geometry, dtype: float64"
34073226880000,"85    247.23856
Name: geometry, dtype: float64"
34073226890000,"85    250.241317
Name: geometry, dtype: float64"
34073226900000,"85    253.435019
Name: geometry, dtype: float64"
34073226920000,"85    249.484033
Name: geometry, dtype: float64"
34073227070000,"85    249.788845
Name: geometry, dtype: float64"
34073227140000,"85    250.71767
Name: geometry, dtype: float64"
34073227230000,"85    244.607869
Name: geometry, dtype: float64"
34073201450000,"85    229.318849
Name: geometry, dtype: float64"
34073201460000,"85    229.676666
Name: geometry, dtype: float64"
34073201470000,"85    231.718391
Name: geometry, dtype: float64"
34073201500000,"85    230.781542
Name: geometry, dtype: float64"
34073201510000,"85    230.976041
Name: geometry, dtype: float64"
34073201520000,"85    229.827576
Name: geometry, dtype: float64"
34073201550000,"85    230.803551
Name: geometry, dtype: float64"
34073201580000,"85    231.020009
Name: geometry, dtype: float64"
34073201680000,"85    230.42006
Name: geometry, dtype: float64"
34073201690000,"85    231.417776
Name: geometry, dtype: float64"
34073201770000,"85    231.000669
Name: geometry, dtype: float64"
34073201800000,"85    230.732372
Name: geometry, dtype: float64"
34073201810000,"85    231.668526
Name: geometry, dtype: float64"
34073201860000,"85    231.331256
Name: geometry, dtype: float64"
34073201880000,"85    230.541897
Name: geometry, dtype: float64"
34073201930000,"85    231.634629
Name: geometry, dtype: float64"
34073201990000,"85    231.114814
Name: geometry, dtype: float64"
34073202000000,"85    231.525554
Name: geometry, dtype: float64"
34073202010000,"85    231.4519
Name: geometry, dtype: float64"
34073202020000,"85    230.896508
Name: geometry, dtype: float64"
34073202130000,"85    230.118419
Name: geometry, dtype: float64"
34073202170000,"85    239.184791
Name: geometry, dtype: float64"
34073202180000,"85    239.040915
Name: geometry, dtype: float64"
34073202190000,"85    239.360166
Name: geometry, dtype: float64"
34073202240000,"85    239.419074
Name: geometry, dtype: float64"
34073202250000,"85    239.619759
Name: geometry, dtype: float64"
34073202340000,"85    231.612895
Name: geometry, dtype: float64"
34073202350000,"85    231.478611
Name: geometry, dtype: float64"
34073202360000,"85    239.729963
Name: geometry, dtype: float64"
34073202430000,"85    239.393584
Name: geometry, dtype: float64"
34073202470000,"85    231.831153
Name: geometry, dtype: float64"
34073202570000,"85    239.21078
Name: geometry, dtype: float64"
34073202580000,"85    231.836386
Name: geometry, dtype: float64"
34073213240000,"85    257.389567
Name: geometry, dtype: float64"
34073213350000,"85    235.119215
Name: geometry, dtype: float64"
34073213370000,"85    252.80824
Name: geometry, dtype: float64"
34073221530000,"85    249.307243
Name: geometry, dtype: float64"
34073221630000,"85    250.291496
Name: geometry, dtype: float64"
34073221710000,"85    245.933341
Name: geometry, dtype: float64"
34073221730000,"85    245.51148
Name: geometry, dtype: float64"
34073221800000,"85    258.803487
Name: geometry, dtype: float64"
34073221840000,"85    258.171856
Name: geometry, dtype: float64"
34073221850000,"85    258.095417
Name: geometry, dtype: float64"
34073221880000,"85    256.84287
Name: geometry, dtype: float64"
34073221930000,"85    246.971511
Name: geometry, dtype: float64"
34073221990000,"85    250.530152
Name: geometry, dtype: float64"
34073222500000,"85    246.447685
Name: geometry, dtype: float64"
34073222710000,"85    253.752779
Name: geometry, dtype: float64"
34073222940000,"85    245.931534
Name: geometry, dtype: float64"
34073222950000,"85    254.791878
Name: geometry, dtype: float64"
34073222990000,"85    255.00292
Name: geometry, dtype: float64"
34073223190000,"85    249.901842
Name: geometry, dtype: float64"
34073223220000,"85    255.663269
Name: geometry, dtype: float64"
34073223260000,"85    253.588231
Name: geometry, dtype: float64"
34073223280000,"85    250.637753
Name: geometry, dtype: float64"
34073223300000,"85    250.361267
Name: geometry, dtype: float64"
34073223350000,"85    244.687318
Name: geometry, dtype: float64"
34073223370000,"85    244.434804
Name: geometry, dtype: float64"
34073223430000,"85    245.000143
Name: geometry, dtype: float64"
34073223510000,"85    254.279392
Name: geometry, dtype: float64"
34073223520000,"85    245.201946
Name: geometry, dtype: float64"
34073223560000,"85    253.975608
Name: geometry, dtype: float64"
34073223590000,"85    252.918528
Name: geometry, dtype: float64"
34073223690000,"85    252.914248
Name: geometry, dtype: float64"
34073224160000,"85    249.583786
Name: geometry, dtype: float64"
34073224170000,"85    249.892455
Name: geometry, dtype: float64"
34073224200000,"85    246.136619
Name: geometry, dtype: float64"
34073224210000,"85    250.819111
Name: geometry, dtype: float64"
34073227330000,"85    257.841653
Name: geometry, dtype: float64"
34073227540000,"85    249.973935
Name: geometry, dtype: float64"
34073227590000,"85    251.300478
Name: geometry, dtype: float64"
34073227660000,"85    249.490282
Name: geometry, dtype: float64"
34073227670000,"85    249.902123
Name: geometry, dtype: float64"
34073227770000,"85    248.826326
Name: geometry, dtype: float64"
34073227780000,"85    249.373425
Name: geometry, dtype: float64"
34073227790000,"85    249.129602
Name: geometry, dtype: float64"
34073228010000,"85    249.374987
Name: geometry, dtype: float64"
34073228030000,"85    250.428649
Name: geometry, dtype: float64"
34073228130000,"85    255.178309
Name: geometry, dtype: float64"
34073228150000,"85    250.984967
Name: geometry, dtype: float64"
34073228350000,"85    252.713977
Name: geometry, dtype: float64"
34073228390000,"85    250.999722
Name: geometry, dtype: float64"
34073228410000,"85    258.915364
Name: geometry, dtype: float64"
34073228440000,"85    237.645863
Name: geometry, dtype: float64"
34073228450000,"85    237.950354
Name: geometry, dtype: float64"
34073228460000,"85    245.806932
Name: geometry, dtype: float64"
34073228480000,"85    246.931302
Name: geometry, dtype: float64"
34073228490000,"85    253.831624
Name: geometry, dtype: float64"
34073228510000,"85    250.792747
Name: geometry, dtype: float64"
34073228610000,"85    247.4775
Name: geometry, dtype: float64"
34073228620000,"85    249.4469
Name: geometry, dtype: float64"
34073228630000,"85    251.578636
Name: geometry, dtype: float64"
34073228680000,"85    253.269829
Name: geometry, dtype: float64"
34073228690000,"85    252.313525
Name: geometry, dtype: float64"
34073228730000,"85    250.692404
Name: geometry, dtype: float64"
34073228790000,"85    248.385705
Name: geometry, dtype: float64"
34073228850000,"85    254.106016
Name: geometry, dtype: float64"
34073228870000,"85    252.612973
Name: geometry, dtype: float64"
34073228880000,"85    247.940482
Name: geometry, dtype: float64"
34073228980000,"85    250.626307
Name: geometry, dtype: float64"
34073228990000,"85    250.35223
Name: geometry, dtype: float64"
34073229020000,"85    253.168429
Name: geometry, dtype: float64"
34073229030000,"85    251.940643
Name: geometry, dtype: float64"
34073229110000,"85    250.780498
Name: geometry, dtype: float64"
34073229120000,"85    250.014951
Name: geometry, dtype: float64"
34073229210000,"85    246.392084
Name: geometry, dtype: float64"
34073229240000,"85    252.713213
Name: geometry, dtype: float64"
34073229320000,"85    247.575936
Name: geometry, dtype: float64"
34073229400000,"85    248.175288
Name: geometry, dtype: float64"
34073229530000,"85    250.192113
Name: geometry, dtype: float64"
34073229540000,"85    250.932362
Name: geometry, dtype: float64"
34073229650000,"85    254.857993
Name: geometry, dtype: float64"
34073229900000,"85    252.10375
Name: geometry, dtype: float64"
34073229930000,"85    248.23098
Name: geometry, dtype: float64"
34073230000000,"85    254.502493
Name: geometry, dtype: float64"
34073230040000,"85    250.357207
Name: geometry, dtype: float64"
34073230240000,"85    249.046295
Name: geometry, dtype: float64"
34073230440000,"85    254.94194
Name: geometry, dtype: float64"
34073230500000,"85    249.33169
Name: geometry, dtype: float64"
34073230530000,"85    253.115928
Name: geometry, dtype: float64"
34073230590000,"85    249.293699
Name: geometry, dtype: float64"
34073230600000,"85    252.094362
Name: geometry, dtype: float64"
34073230820000,"85    249.549526
Name: geometry, dtype: float64"
34073230880000,"85    248.544484
Name: geometry, dtype: float64"
34073230890000,"85    251.26008
Name: geometry, dtype: float64"
34073230910000,"85    257.591218
Name: geometry, dtype: float64"
34073230930000,"85    250.504131
Name: geometry, dtype: float64"
34073230960000,"85    247.120241
Name: geometry, dtype: float64"
34073231030000,"85    255.015589
Name: geometry, dtype: float64"
34073231040000,"85    254.603649
Name: geometry, dtype: float64"
34073231050000,"85    255.272911
Name: geometry, dtype: float64"
34073231060000,"85    255.116971
Name: geometry, dtype: float64"
34073231180000,"85    250.136972
Name: geometry, dtype: float64"
34073231330000,"85    257.741895
Name: geometry, dtype: float64"
34073231450000,"85    246.409635
Name: geometry, dtype: float64"
34073234910000,"85    222.172163
Name: geometry, dtype: float64"
34073234970000,"85    221.893935
Name: geometry, dtype: float64"
34073235000000,"85    232.625709
Name: geometry, dtype: float64"
34073235070000,"85    221.034552
Name: geometry, dtype: float64"
34073235200000,"85    223.072611
Name: geometry, dtype: float64"
34073235460000,"85    260.619092
Name: geometry, dtype: float64"
34073235540000,"85    255.828571
Name: geometry, dtype: float64"
34073235560000,"85    246.395382
Name: geometry, dtype: float64"
34073235570000,"85    246.236731
Name: geometry, dtype: float64"
34073235610000,"85    232.822816
Name: geometry, dtype: float64"
34073235660000,"85    256.487249
Name: geometry, dtype: float64"
34073235680000,"85    244.56924
Name: geometry, dtype: float64"
34073235690000,"85    255.982685
Name: geometry, dtype: float64"
34073235930000,"85    253.009819
Name: geometry, dtype: float64"
34073235960000,"85    231.16255
Name: geometry, dtype: float64"
34073235990000,"85    249.88341
Name: geometry, dtype: float64"
34073236090000,"85    258.155369
Name: geometry, dtype: float64"
34073236110000,"85    257.18286
Name: geometry, dtype: float64"
34073600020000,"85    230.927245
Name: geometry, dtype: float64"
34073600030000,"85    230.41017
Name: geometry, dtype: float64"
34073600040000,"85    231.298131
Name: geometry, dtype: float64"
34073600050000,"85    230.194275
Name: geometry, dtype: float64"
34073600060000,"85    230.098554
Name: geometry, dtype: float64"
34073600070000,"85    231.679975
Name: geometry, dtype: float64"
34073600080000,"85    231.324391
Name: geometry, dtype: float64"
34073600140000,"85    229.803266
Name: geometry, dtype: float64"
34073600150000,"85    229.286429
Name: geometry, dtype: float64"
34073600160000,"85    231.142914
Name: geometry, dtype: float64"
34073600170000,"85    230.444451
Name: geometry, dtype: float64"
34073600210000,"85    232.817294
Name: geometry, dtype: float64"
34073600220000,"85    232.464619
Name: geometry, dtype: float64"
34073600230000,"85    231.858403
Name: geometry, dtype: float64"
34073600240000,"85    232.701846
Name: geometry, dtype: float64"
34073600250000,"85    231.631987
Name: geometry, dtype: float64"
34073600440000,"85    239.543085
Name: geometry, dtype: float64"
34073600490000,"85    242.316238
Name: geometry, dtype: float64"
34073600530000,"85    239.218825
Name: geometry, dtype: float64"
34073600550000,"85    239.579916
Name: geometry, dtype: float64"
34073600580000,"85    239.265169
Name: geometry, dtype: float64"
34073600590000,"85    239.102096
Name: geometry, dtype: float64"
34073600630000,"85    238.948704
Name: geometry, dtype: float64"
34073600650000,"85    239.055333
Name: geometry, dtype: float64"
34073600660000,"85    239.371754
Name: geometry, dtype: float64"
34073600720000,"85    236.122681
Name: geometry, dtype: float64"
34073600730000,"85    238.122984
Name: geometry, dtype: float64"
34073600750000,"85    236.52165
Name: geometry, dtype: float64"
34073600760000,"85    235.794278
Name: geometry, dtype: float64"
34073600830000,"85    235.753129
Name: geometry, dtype: float64"
34073600860000,"85    232.474346
Name: geometry, dtype: float64"
34073600900000,"85    235.370341
Name: geometry, dtype: float64"
34073600980000,"85    232.861003
Name: geometry, dtype: float64"
34073600990000,"85    230.451774
Name: geometry, dtype: float64"
34073601020000,"85    230.596032
Name: geometry, dtype: float64"
34073601030000,"85    230.949799
Name: geometry, dtype: float64"
34073601070000,"85    231.359578
Name: geometry, dtype: float64"
34073601080000,"85    231.482668
Name: geometry, dtype: float64"
34073601090000,"85    231.230571
Name: geometry, dtype: float64"
34073601240000,"85    230.371557
Name: geometry, dtype: float64"
34073601250000,"85    230.66709
Name: geometry, dtype: float64"
34073601260000,"85    230.555694
Name: geometry, dtype: float64"
34073601280000,"85    229.797679
Name: geometry, dtype: float64"
34073601310000,"85    231.759478
Name: geometry, dtype: float64"
34073601320000,"85    232.103555
Name: geometry, dtype: float64"
34073601330000,"85    232.079499
Name: geometry, dtype: float64"
34073601340000,"85    232.301431
Name: geometry, dtype: float64"
34073601350000,"85    239.111274
Name: geometry, dtype: float64"
34073601360000,"85    228.090096
Name: geometry, dtype: float64"
34073601370000,"85    230.322473
Name: geometry, dtype: float64"
34073601380000,"85    230.424468
Name: geometry, dtype: float64"
34073601390000,"85    232.020572
Name: geometry, dtype: float64"
34073601400000,"85    231.928278
Name: geometry, dtype: float64"
34073601410000,"85    230.746405
Name: geometry, dtype: float64"
34073601420000,"85    234.867794
Name: geometry, dtype: float64"
34073601870000,"85    248.444273
Name: geometry, dtype: float64"
34073602100000,"85    249.745169
Name: geometry, dtype: float64"
34073602300000,"85    249.727713
Name: geometry, dtype: float64"
34073602940000,"85    252.050062
Name: geometry, dtype: float64"
34073603340000,"85    252.170536
Name: geometry, dtype: float64"
34073610070000,"85    250.549104
Name: geometry, dtype: float64"
34073610080000,"85    250.497209
Name: geometry, dtype: float64"
34073610140000,"85    250.484778
Name: geometry, dtype: float64"
34073610150000,"85    250.261294
Name: geometry, dtype: float64"
34073610210000,"85    249.952808
Name: geometry, dtype: float64"
34073610220000,"85    250.01197
Name: geometry, dtype: float64"
34073610230000,"85    250.239737
Name: geometry, dtype: float64"
34073610720000,"85    257.202101
Name: geometry, dtype: float64"
34073612680000,"85    222.437141
Name: geometry, dtype: float64"
34073612690000,"85    222.479697
Name: geometry, dtype: float64"
34073612700000,"85    222.38514
Name: geometry, dtype: float64"
34073612710000,"85    222.246169
Name: geometry, dtype: float64"
34073612750000,"85    223.077102
Name: geometry, dtype: float64"
34073612800000,"85    223.617273
Name: geometry, dtype: float64"
34073612810000,"85    225.103459
Name: geometry, dtype: float64"
34073612840000,"85    223.478067
Name: geometry, dtype: float64"
34073612920000,"85    220.408803
Name: geometry, dtype: float64"
34073612930000,"85    222.905582
Name: geometry, dtype: float64"
34073612940000,"85    224.097949
Name: geometry, dtype: float64"
34073612950000,"85    224.827083
Name: geometry, dtype: float64"
34073612960000,"85    224.634001
Name: geometry, dtype: float64"
34073612970000,"85    224.814257
Name: geometry, dtype: float64"
34073612980000,"85    224.215078
Name: geometry, dtype: float64"
34073614310000,"85    253.012597
Name: geometry, dtype: float64"
34073614510000,"85    253.398494
Name: geometry, dtype: float64"
34073614620000,"85    255.598032
Name: geometry, dtype: float64"
34073615110000,"85    260.029875
Name: geometry, dtype: float64"
34073624500000,"85    248.573051
Name: geometry, dtype: float64"
34073624610000,"85    248.438777
Name: geometry, dtype: float64"
34073624720000,"85    248.202185
Name: geometry, dtype: float64"
34073624800000,"85    248.899121
Name: geometry, dtype: float64"
34073624810000,"85    248.956351
Name: geometry, dtype: float64"
34073624820000,"85    249.471305
Name: geometry, dtype: float64"
34073624830000,"85    247.645146
Name: geometry, dtype: float64"
34073624840000,"85    247.956853
Name: geometry, dtype: float64"
34073625000000,"85    245.480565
Name: geometry, dtype: float64"
34073625010000,"85    247.283441
Name: geometry, dtype: float64"
34073625090000,"85    246.695211
Name: geometry, dtype: float64"
34073625100000,"85    246.935373
Name: geometry, dtype: float64"
34073625120000,"85    244.355188
Name: geometry, dtype: float64"
34073625130000,"85    244.478946
Name: geometry, dtype: float64"
34073225590000,"85    248.774458
Name: geometry, dtype: float64"
34073225680000,"85    244.563822
Name: geometry, dtype: float64"
34073225890000,"85    244.796416
Name: geometry, dtype: float64"
34073226020000,"85    247.426843
Name: geometry, dtype: float64"
34073226480000,"85    249.462361
Name: geometry, dtype: float64"
34073226540000,"85    244.609282
Name: geometry, dtype: float64"
34073226650000,"85    247.420002
Name: geometry, dtype: float64"
34073226660000,"85    247.408137
Name: geometry, dtype: float64"
34073226940000,"85    245.456133
Name: geometry, dtype: float64"
34073227050000,"85    244.436191
Name: geometry, dtype: float64"
34073227420000,"85    251.134206
Name: geometry, dtype: float64"
34073227470000,"85    245.460328
Name: geometry, dtype: float64"
34073227620000,"85    247.836552
Name: geometry, dtype: float64"
34073228170000,"85    248.461185
Name: geometry, dtype: float64"
34073228420000,"85    243.893781
Name: geometry, dtype: float64"
34073228430000,"85    242.485581
Name: geometry, dtype: float64"
34073228500000,"85    244.388002
Name: geometry, dtype: float64"
34073228590000,"85    243.145815
Name: geometry, dtype: float64"
34073228710000,"85    251.014756
Name: geometry, dtype: float64"
34073228760000,"85    247.208693
Name: geometry, dtype: float64"
34073228920000,"85    246.152046
Name: geometry, dtype: float64"
34073229000000,"85    246.28138
Name: geometry, dtype: float64"
34073625840000,"85    230.983472
Name: geometry, dtype: float64"
34073625900000,"85    230.198727
Name: geometry, dtype: float64"
34073626100000,"85    232.665501
Name: geometry, dtype: float64"
34073626140000,"85    230.000433
Name: geometry, dtype: float64"
34073202540000,"85    230.276869
Name: geometry, dtype: float64"
34073202560000,"85    231.737572
Name: geometry, dtype: float64"
34073228780000,"85    269.791388
Name: geometry, dtype: float64"
34073228900000,"85    223.496155
Name: geometry, dtype: float64"
34073228910000,"85    266.282666
Name: geometry, dtype: float64"
34073228930000,"85    226.228878
Name: geometry, dtype: float64"
34073228940000,"85    223.883351
Name: geometry, dtype: float64"
34073228950000,"85    222.561793
Name: geometry, dtype: float64"
34073229200000,"85    258.734758
Name: geometry, dtype: float64"
34073229410000,"85    266.011591
Name: geometry, dtype: float64"
34073229450000,"85    265.406293
Name: geometry, dtype: float64"
34073229460000,"85    264.028612
Name: geometry, dtype: float64"
34073229700000,"85    267.343316
Name: geometry, dtype: float64"
34073229710000,"85    266.677257
Name: geometry, dtype: float64"
34073229750000,"85    239.114493
Name: geometry, dtype: float64"
34073229890000,"85    258.431329
Name: geometry, dtype: float64"
34073230230000,"85    264.085488
Name: geometry, dtype: float64"
34073230310000,"85    240.344583
Name: geometry, dtype: float64"
34073230340000,"85    266.264586
Name: geometry, dtype: float64"
