API WELL NUMBER,Nearest_Well_km
34001900060000,0.0
34003200520000,216.1787038781471
34003641500000,222.29927641064327
34003200460000,209.22206325722564
34003200670000,204.46337752358374
34003200710000,204.71967094554148
34003200720000,203.93771433144954
34003200730000,203.87563902317638
34003200740000,203.83744732244685
34003200750000,203.85588111045027
34003200760000,203.3334880403251
34003200830000,203.9340232139596
34003200840000,204.97860844646016
34003609840000,206.324861975132
34003609860000,205.96103465293928
34003609870000,205.3777155442029
34003636110000,210.6095898869741
34003608590000,206.3258081540307
34003624810000,196.89576581380553
34003625040000,197.26539571025077
34003631750000,210.44110658166764
34003637100000,203.07941329266063
34003637110000,202.9646944959309
34003639890000,198.4194916840874
34005200350000,233.16630915833775
34005200520000,256.0884633562939
34005200690000,232.76128107066344
34005201310000,232.77187083036856
34005201340000,231.88914041082984
34005201450000,234.2191182257826
34005201470000,250.3900311082695
34005201570000,221.99583533744197
34005201620000,222.48067705108878
34005201640000,221.18872430679227
34005201790000,224.1370389714059
34005201930000,225.86233715007418
34005202010000,233.66398528178672
34005202030000,238.0819675232063
34005202060000,230.24675615681838
34005202070000,220.3983587237067
34005202090000,221.0092806640448
34005202100000,237.8991243890329
34005202110000,229.67724198051653
34005202130000,233.86672895202537
34005202170000,230.76923038656847
34005202180000,230.20218610289731
34005202200000,223.29434154949587
34005202210000,222.99255634999702
34005202260000,222.50636039654222
34005202310000,236.35642003273108
34005202360000,235.7174941265902
34005202430000,232.10373966563787
34005202670000,256.8898672249944
34005202730000,256.2016841531395
34005202810000,256.0867434018453
34005203000000,225.70915887922266
34005203010000,224.0251479935367
34005203580000,245.64581298213122
34005200010000,223.2130982681793
34005200020000,250.3608680085013
34005200040000,223.52379018825476
34005200150000,225.42298405205375
34005200160000,245.0439892494443
34005200210000,223.69523434788022
34005200330000,245.08224201102806
34005200460000,249.1616085918076
34005200510000,246.9655394796536
34005200580000,244.26901470183455
34005200650000,212.45170468314876
34005200740000,244.36143056867368
34005200770000,212.77500174161918
34005200780000,212.78988946041866
34005200890000,224.58692899470557
34005200900000,213.4238230244533
34005200940000,214.07382813031904
34005200950000,224.70249932755783
34005200960000,228.5023770062776
34005200990000,210.59424286012714
34005201030000,210.90271604430632
34005201040000,210.26387766617614
34005201060000,210.276933032761
34005201070000,210.58545234725
34005201080000,248.72402238544888
34005201100000,210.28916745235213
34005201120000,210.66064350837902
34005201130000,229.23489751956117
34005201150000,210.33565747222008
34005201160000,223.3565367661096
34005201170000,223.35122712174422
34005201200000,210.3522473085196
34005201250000,248.16400091901568
34005201350000,223.01999950816503
34005201380000,247.61878478409156
34005201590000,225.54167047812183
34005201600000,226.1181256475471
34005201670000,223.26761732773264
34005201680000,224.7072049468009
34005201770000,247.72647344697285
34005201830000,247.78759117836668
34005207100000,251.98602547323605
34005207170000,244.87483806190968
34005207180000,247.9217041525761
34005207190000,224.23164117890224
34005207200000,224.83049602524775
34005207210000,224.25944740324192
34005207240000,249.0999016009782
34005207260000,244.48864681857867
34005207330000,224.74580443309048
34005207500000,224.84469954716127
34005207510000,225.12362197123483
