API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34067213870000,40.3142238195641,-81.0867519834455,ECLIPSE RESOURCES I LP,09/16/2014,08/19/2014,HX,aPATT025525,False,aPATT025525,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34067213880000,40.3143154131187,-81.0868325255237,ECLIPSE RESOURCES I LP,09/16/2014,08/19/2014,HX,aPATT025526,False,aPATT025526,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34067213890000,40.3142709663922,-81.0867904328134,ECLIPSE RESOURCES I LP,09/16/2014,08/19/2014,HX,aPATT025527,False,aPATT025527,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245260000,39.8918702287174,-81.3125590528407,ECLIPSE RESOURCES I LP,09/04/2014,08/19/2014,RHX,aPATT025529,True,aPATT025529,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34121245270000,39.8918312929354,-81.3125098210224,ECLIPSE RESOURCES I LP,09/04/2014,08/19/2014,RHX,aPATT025530,True,aPATT025530,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34121245280000,39.8917923210293,-81.3124570258403,ECLIPSE RESOURCES I LP,09/04/2014,08/19/2014,RHX,aPATT025531,True,aPATT025531,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34067202330000,40.252586655801,-81.2919931373304,ATLAS NOBLE LLC,09/04/2014,08/19/2014,RP,aPATT025532,True,aPATT025532,SERV,OG_R,,Reissue Plug & Abandon
34157244990000,40.3164407613982,-81.6078075826156,ATLAS NOBLE LLC,09/04/2014,08/19/2014,PA,aPATT025533,True,aPATT025533,SERV,OG_R,,Plug and Abandon
34153205790000,41.1876100557684,-81.4462781727309,MORGAN ADHESIVES COMPANY,09/04/2014,08/20/2014,PA,aPATT025539,True,aPATT025539,,OG_R,,Plug and Abandon
34153207500000,41.1877480815611,-81.4490737268475,KST OIL & GAS CO INC,10/15/2014,08/20/2014,PA,aPATT025540,True,aPATT025540,SERV,OG_R,,Plug and Abandon
34029218530000,40.8742046543,-80.6341974627527,ATLAS NOBLE LLC,09/18/2014,08/20/2014,HX2,aPATT025541,False,aPATT025541,RTAF,OG_R,EDPW,"Drill New Well, horizontally Urban 15000"
34029218500000,40.8742519523638,-80.6342359145368,ATLAS NOBLE LLC,09/15/2014,08/20/2014,HX2,aPATT025542,False,aPATT025542,RTAF,OG_R,EDPW,"Drill New Well, horizontally Urban 15000"
34029218510000,40.8742991916998,-80.6342707512131,ATLAS NOBLE LLC,09/16/2014,08/20/2014,HX2,aPATT025543,False,aPATT025543,RTAF,OG_R,EDPW,"Drill New Well, horizontally Urban 15000"
34029218520000,40.8743464897386,-80.6343092031045,ATLAS NOBLE LLC,09/18/2014,08/20/2014,HX2,aPATT025544,False,aPATT025544,RTAF,OG_R,EDPW,"Drill New Well, horizontally Urban 15000"
34121244670000,39.8226298354812,-81.3187210549661,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,RRHX,aPATT025552,True,aPATT025552,RTAF,OG_R,POOL,"Reissue revise location new well, horizontally"
34121245310000,39.8182071730822,-81.329430592275,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025553,False,aPATT025553,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245320000,39.8226827732779,-81.3188020495648,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025554,False,aPATT025554,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245330000,39.8226046538196,-81.3186787576698,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025555,False,aPATT025555,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245340000,39.8225795170288,-81.3186364582808,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025556,False,aPATT025556,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245300000,39.8181847496499,-81.3293846858657,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025557,False,aPATT025557,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34121245350000,39.8226576365322,-81.3187597500838,ANTERO RESOURCES CORPORATION,09/05/2014,08/21/2014,HX,aPATT025558,False,aPATT025558,RTAF,OG_R,POOL,"Drill New Well, horizontally"
34075232920000,40.4872166165342,-81.9357653051951,KENOIL LLC,09/04/2014,08/22/2014,PA,aPATT025559,True,aPATT025559,SERV,OG_R,,Plug and Abandon
34121235020000,39.6072205234841,-81.4984568972497,ARTEX OIL COMPANY,09/04/2014,08/22/2014,PA,aPATT025560,True,aPATT025560,CT,OG_R,,Plug and Abandon
34013208550000,39.8728148904042,-80.9920685926442,GULFPORT ENERGY CORPORATION,09/05/2014,08/22/2014,HX,aPATT025570,False,aPATT025570,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208570000,39.8727841922463,-80.9920300622473,GULFPORT ENERGY CORPORATION,09/04/2014,08/22/2014,HX,aPATT025571,False,aPATT025571,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208540000,39.872722887584,-80.9919601260627,GULFPORT ENERGY CORPORATION,09/04/2014,08/22/2014,HX,aPATT025572,False,aPATT025572,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208560000,39.8727535399205,-80.9919950941395,GULFPORT ENERGY CORPORATION,09/04/2014,08/22/2014,HX,aPATT025573,False,aPATT025573,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34169223290000,40.7797709584431,-81.7282679318678,STEINER STEPHAN R,09/12/2014,08/25/2014,PA,aPATT025574,True,aPATT025574,CT,OG_R,,Plug and Abandon
34173205820000,41.2934246951309,-83.6952546235512,FO ENERGY LLC,09/23/2014,08/25/2014,NW,aPATT025575,False,aPATT025575,RTA,OG_R,FWC,Drill New Well
34173205810000,41.22986098605,-83.6566005756262,FO ENERGY LLC,09/23/2014,08/25/2014,NW,aPATT025576,False,aPATT025576,RTA,OG_R,FWC,Drill New Well
34173205830000,41.354143951846,-83.7242114226242,FO ENERGY LLC,09/23/2014,08/25/2014,NW,aPATT025577,False,aPATT025577,RTA,OG_R,FWC,Drill New Well
34169256710000,40.6909100182172,-81.9496303807239,R D WILES INC,09/22/2014,08/25/2014,RN,aPATT025578,True,aPATT025578,CRA,OG_R,,Reissue New Well
34105217940000,39.1477962900657,-81.8451776101932,LIBERTY OIL & GAS CORP,09/24/2014,08/25/2014,PA,aPATT025579,True,aPATT025579,CT,OG_R,,Plug and Abandon
34111245100000,39.8010340729968,-81.0333332818822,GULFPORT ENERGY CORPORATION,09/17/2014,08/25/2014,HX,aPATT025581,False,aPATT025581,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34111245110000,39.8010638218834,-81.0332970598601,GULFPORT ENERGY CORPORATION,09/17/2014,08/25/2014,HX,aPATT025582,False,aPATT025582,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34111245120000,39.8010015791181,-81.0333695616779,GULFPORT ENERGY CORPORATION,09/17/2014,08/25/2014,HX,aPATT025583,False,aPATT025583,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34111245130000,39.8009717856213,-81.0334022250258,GULFPORT ENERGY CORPORATION,09/17/2014,08/25/2014,HX,aPATT025584,False,aPATT025584,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34083246230000,40.3273225365188,-82.2155796105968,VALLEY PETROLEUM MANAGEMENT,09/05/2014,08/26/2014,NW,aPATT025587,False,aPATT025587,CRA,OG_R,POOL,Drill New Well
34013208580000,39.8728455427074,-80.9921035608151,GULFPORT ENERGY CORPORATION,09/10/2014,08/26/2014,HX,aPATT025588,False,aPATT025588,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208150000,40.0200222381347,-80.9279670751359,AMERICAN ENERGY UTICA LLC,09/05/2014,08/26/2014,RRHX,aPATT025589,True,aPATT025589,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34013208160000,40.0200488729597,-80.9279057675182,AMERICAN ENERGY UTICA LLC,09/05/2014,08/26/2014,RRHX,aPATT025590,True,aPATT025590,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34059243860000,40.1660693141556,-81.3120277541263,CARRIZO (UTICA) LLC,09/04/2014,08/26/2014,RRHX,aPATT025593,True,aPATT025593,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34059243680000,40.1660687724578,-81.3119740912391,CARRIZO (UTICA) LLC,09/04/2014,08/26/2014,RR,aPATT025594,True,aPATT025594,RTAF,OG_R,STRT,Reissue Revised Location
34059243680000,40.1660687724578,-81.3119740912391,CARRIZO (UTICA) LLC,09/04/2014,08/26/2014,RRHX,aPATT025595,True,aPATT025595,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34067213730000,40.3207345568831,-81.2246236620651,AMERICAN ENERGY UTICA LLC,09/02/2014,08/26/2014,RHX,aPATT025596,True,aPATT025596,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34067213750000,40.3207612806829,-81.2245585964491,AMERICAN ENERGY UTICA LLC,09/02/2014,08/26/2014,RHX,aPATT025597,True,aPATT025597,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34067213760000,40.3207880445884,-81.2244971164067,AMERICAN ENERGY UTICA LLC,09/02/2014,08/26/2014,RHX,aPATT025598,True,aPATT025598,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
